2023-11-21 18:53:08,845 INFO    StreamThr :1809888 [internal.py:wandb_internal():86] W&B internal server running at pid: 1809888, started at: 2023-11-21 18:53:08.845370
2023-11-21 18:53:08,847 DEBUG   HandlerThread:1809888 [handler.py:handle_request():146] handle_request: status
2023-11-21 18:53:08,848 INFO    WriterThread:1809888 [datastore.py:open_for_write():85] open: /home/xinfan/Desktop/DGEKT/KnowledgeTracing/evaluation/wandb/run-20231121_185308-zyzstv87/run-zyzstv87.wandb
2023-11-21 18:53:08,848 DEBUG   SenderThread:1809888 [sender.py:send():380] send: header
2023-11-21 18:53:08,865 DEBUG   SenderThread:1809888 [sender.py:send():380] send: run
2023-11-21 18:53:09,438 INFO    SenderThread:1809888 [dir_watcher.py:__init__():211] watching files in: /home/xinfan/Desktop/DGEKT/KnowledgeTracing/evaluation/wandb/run-20231121_185308-zyzstv87/files
2023-11-21 18:53:09,445 INFO    SenderThread:1809888 [sender.py:_start_run_threads():1124] run started: zyzstv87 with start time 1700560388.844986
2023-11-21 18:53:09,445 DEBUG   HandlerThread:1809888 [handler.py:handle_request():146] handle_request: check_version
2023-11-21 18:53:09,445 DEBUG   SenderThread:1809888 [sender.py:send_request():407] send_request: check_version
2023-11-21 18:53:09,490 DEBUG   HandlerThread:1809888 [handler.py:handle_request():146] handle_request: run_start
2023-11-21 18:53:09,499 DEBUG   HandlerThread:1809888 [system_info.py:__init__():32] System info init
2023-11-21 18:53:09,499 DEBUG   HandlerThread:1809888 [system_info.py:__init__():47] System info init done
2023-11-21 18:53:09,499 INFO    HandlerThread:1809888 [system_monitor.py:start():194] Starting system monitor
2023-11-21 18:53:09,499 INFO    SystemMonitor:1809888 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-11-21 18:53:09,500 INFO    HandlerThread:1809888 [system_monitor.py:probe():214] Collecting system info
2023-11-21 18:53:09,500 INFO    SystemMonitor:1809888 [interfaces.py:start():190] Started cpu monitoring
2023-11-21 18:53:09,501 INFO    SystemMonitor:1809888 [interfaces.py:start():190] Started disk monitoring
2023-11-21 18:53:09,501 INFO    SystemMonitor:1809888 [interfaces.py:start():190] Started gpu monitoring
2023-11-21 18:53:09,501 INFO    SystemMonitor:1809888 [interfaces.py:start():190] Started memory monitoring
2023-11-21 18:53:09,502 INFO    SystemMonitor:1809888 [interfaces.py:start():190] Started network monitoring
2023-11-21 18:53:09,510 DEBUG   HandlerThread:1809888 [system_info.py:probe():196] Probing system
